"","week","obsCount","nLists","region"
"262",33,794,200,"SEAUS"
"263",34,890,220,"SEAUS"
"264",35,1445,224,"SEAUS"
"265",36,1183,247,"SEAUS"
"266",37,1535,240,"SEAUS"
"267",38,1767,251,"SEAUS"
"268",39,2245,276,"SEAUS"
"269",40,1491,266,"SEAUS"
"270",41,2607,262,"SEAUS"
"271",42,1987,293,"SEAUS"
"272",43,1587,270,"SEAUS"
"273",44,1971,289,"SEAUS"
"274",45,1632,258,"SEAUS"
"275",46,1341,291,"SEAUS"
"276",47,2064,261,"SEAUS"
"277",48,1562,234,"SEAUS"
"278",49,1641,258,"SEAUS"
"279",50,1516,306,"SEAUS"
"280",51,1310,257,"SEAUS"
"281",52,1320,267,"SEAUS"
"282",53,463,61,"SEAUS"
"283",1,100,97,"SAUS"
"284",2,250,74,"SAUS"
"285",3,94,74,"SAUS"
"286",4,363,104,"SAUS"
"287",5,238,83,"SAUS"
"288",6,197,78,"SAUS"
"289",7,192,60,"SAUS"
"290",8,142,74,"SAUS"
"291",9,307,86,"SAUS"
"292",10,82,82,"SAUS"
"293",11,68,87,"SAUS"
"294",12,10,68,"SAUS"
"295",13,23,65,"SAUS"
"296",14,18,53,"SAUS"
"297",15,9,53,"SAUS"
"298",16,28,47,"SAUS"
"299",17,17,50,"SAUS"
"300",18,8,36,"SAUS"
"301",19,22,41,"SAUS"
"302",20,7,52,"SAUS"
"303",21,19,43,"SAUS"
"304",22,22,48,"SAUS"
"305",23,2,51,"SAUS"
"306",24,31,46,"SAUS"
"307",25,141,54,"SAUS"
"308",26,7,44,"SAUS"
"309",27,3,44,"SAUS"
"310",28,50,39,"SAUS"
"311",29,32,40,"SAUS"
"312",30,79,47,"SAUS"
"313",31,27,33,"SAUS"
"314",32,44,30,"SAUS"
"315",33,55,44,"SAUS"
"316",34,28,36,"SAUS"
"317",35,125,41,"SAUS"
"318",36,34,45,"SAUS"
"319",37,133,44,"SAUS"
"320",38,107,49,"SAUS"
"321",39,117,49,"SAUS"
"322",40,41,59,"SAUS"
"323",41,178,46,"SAUS"
"324",42,181,57,"SAUS"
"325",43,238,52,"SAUS"
"326",44,185,62,"SAUS"
"327",45,114,62,"SAUS"
"328",46,47,67,"SAUS"
